Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Förvärvsnummer,Omnämns i katalog,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Förvärvsmetod,Kontextnamn,Historisk plats,Undersökare,Undersökningsår,latitude,longitude
spiralring,1104_HST,33759,Undernummer: 486,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 11,https://samlingar.shm.se/object/670C3D95-CFBD-45EA-8F3E-A4FB38D1A303,Handel och värdemätare  Arkeologisk samling,Vikt 64 g  Diameter 73 mm  Bredd 4 mm  Tjocklek 4 mm,1,800 – 1100,Vikingatid,1104_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Permisk halsring,1213_HST,33759,Undernummer: 662,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Permisk halsring - 12,https://samlingar.shm.se/object/6C345EDD-555B-4AD6-85BD-064DE33D406D,Handel och värdemätare  Arkeologisk samling,Vikt 19.5 g  Diameter 52.5 mm  Diameter 4 mm,1,800 – 1100,Vikingatid,1213_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Permisk halsring,1247_HST,33759,Undernummer: 622,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Permisk halsring - 13,https://samlingar.shm.se/object/E44BFE28-3268-4743-82D0-506BAAE257CD,Handel och värdemätare  Arkeologisk samling,Vikt 63.5 g  Diameter 68 mm  Diameter 4.5 mm,1,800 – 1100,Vikingatid,1247_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,9_HST,33758,Undernummer: 9,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 14,https://samlingar.shm.se/object/8FF5585A-D399-42B8-91FA-008EDAD347F7,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 108.2 g  Längd 126 mm  Bredd 12 mm  Tjocklek 11.5 mm,1,800 – 1100,Vikingatid,9_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,43_HST,33758,Undernummer: 46,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 15,https://samlingar.shm.se/object/649B09F6-F60A-41C0-A862-241C90DEC2C6,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 73.7 g  Längd 135 mm  Bredd 11 mm  Tjocklek 9 mm,1,800 – 1100,Vikingatid,43_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,70_HST,33758,Undernummer: 124,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 16,https://samlingar.shm.se/object/BBC4A1EC-A69E-48FA-A33E-50EF09665FED,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 50.8 g  Längd 66 mm  Bredd 12.5 mm  Tjocklek 11.5 mm,1,800 – 1100,Vikingatid,70_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Konglomerat,77_HST,33758,Undernummer: 134,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Konglomerat - 17,https://samlingar.shm.se/object/066B9F9A-BA56-4552-B50D-E8ACB2FB6FAD,Handel och värdemätare  Arkeologisk samling,Vikt 79.5 g,1,800 – 1100,Vikingatid,77_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,111_HST,33758,Undernummer: 173,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 18,https://samlingar.shm.se/object/FECB1EBD-6426-4551-B094-277047EEE9A0,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 101 g  Längd 116 mm  Bredd 18 mm  Tjocklek 11 mm,1,800 – 1100,Vikingatid,111_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,127_HST,33758,Undernummer: 189,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 19,https://samlingar.shm.se/object/52A564ED-E637-40A9-B8EB-F5660DE16F63,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 73.9 g  Längd 145 mm  Bredd 9.5 mm  Tjocklek 8 mm,1,800 – 1100,Vikingatid,127_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,129_HST,33758,Undernummer: 192,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 20,https://samlingar.shm.se/object/CA6887BC-66C0-4A19-80C5-A43BD30402D2,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 32 g  Längd 80 mm  Bredd 80 mm  Tjocklek 7 mm,1,800 – 1100,Vikingatid,129_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Barr,136_HST,33758,Undernummer: 199,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Barr - 21,https://samlingar.shm.se/object/0CA1B6BC-0B8F-4330-904D-439CCA600C8E,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 64 g  Längd 90 mm  Bredd 10.5 mm  Tjocklek 10 mm,1,800 – 1100,Vikingatid,136_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Permisk halsring,143_HST,33758,Undernummer: 208,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 22,https://samlingar.shm.se/object/BF4A41A2-E363-4956-AB59-8B430EBA41EE,Handel och värdemätare  Arkeologisk samling,Vikt 33.7 g  Diameter 35 mm  Diameter 4 mm,1,800 – 1100,Vikingatid,143_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
spiralring,184_HST,33758,Undernummer: 397,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,spiralring - 23,https://samlingar.shm.se/object/3465299B-B6BA-46A7-850D-2C6A7F10E11C,Handel och värdemätare  Arkeologisk samling,Vikt 75.5 g  Diameter 79 mm  Bredd 6.5 mm  Tjocklek 6.5 mm,1,800 – 1100,Vikingatid,184_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Permisk halsring,238_HST,33758,Undernummer: 453,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Permisk halsring - 24,https://samlingar.shm.se/object/92A952AA-E905-474D-842D-6174DB16A761,Handel och värdemätare  Arkeologisk samling,Vikt 39.5 g  Diameter 52.5 mm  Diameter 4 mm,1,800 – 1100,Vikingatid,238_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
spiralring,243_HST,33758,Undernummer: 458,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,spiralring - 25,https://samlingar.shm.se/object/D5DF972C-817E-4257-973D-7D4DB47CE3BA,Handel och värdemätare  Arkeologisk samling,Vikt 52 g  Diameter 73 mm  Bredd 4 mm,1,800 – 1100,Vikingatid,243_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Konglomerat,261_HST,33758,Undernummer: 477,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Konglomerat - 26,https://samlingar.shm.se/object/2C1E6EC7-D3B7-4EA4-86FC-1A9B9077B63B,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 437.5 g,1,800 – 1100,Vikingatid,261_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Konglomerat,263_HST,33758,Undernummer: 479,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,Historiska museet,Konglomerat - 27,https://samlingar.shm.se/object/85DB0E79-687F-4983-BBDF-0B346D5A121E,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 200 g,1,800 – 1100,Vikingatid,263_HST,33758,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 1,KML (inlösen),Spillingskatten,,,,57.7280603,18.7542093
Pyndare,107229_HST,4078,FID: 107229,"Järn, Brons",Smiss,,Eke socken,Gotland,Sverige,,,Historiska museet,Pyndare - 28,https://samlingar.shm.se/object/7D50F9F2-87A4-4402-8023-AB68BE282CFA,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,107229_HST,4078,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4078,1869,"Plats: Smiss, Socken: Eke socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,57.7407697,18.6287463
Balansvåg i dosa,107468_HST,15115,FID: 107468,Brons,Långbro,,Vårdinge socken,Södermanland,Sverige,,,Historiska museet,Balansvåg i dosa - 29,https://samlingar.shm.se/object/EA67A9F5-4B75-4C96-ACA1-0EE8B3F7B58D,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,107468_HST,15115,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=15115,1914,"Plats: Långbro, Socken: Vårdinge socken, Kommun: Södertälje kommun, Landskap: Södermanland, Land: Sverige",,,,,,,59.2824326,17.9824914
Vikt,107881_HST,15721,Undernummer: II:30,Brons,Unna Saiva,,Gällivare socken,Lappland,Sverige,,,Historiska museet,Vikt - 30,https://samlingar.shm.se/object/61E00628-F81D-499C-9D97-5D2F59D6C3C0,Handel och värdemätare  Arkeologisk samling,,5,800 – 1100,Vikingatid,107881_HST,15721,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=15721,1916,"Plats: Unna Saiva, Socken: Gällivare socken, Kommun: Gällivare kommun, Landskap: Lappland, Land: Sverige",,,,,,,67.52275,18.767187499999988
Våg,107936_HST,15721,Undernummer: I:15,Brons,Unna Saiva,,Gällivare socken,Lappland,Sverige,,,Historiska museet,Våg - 31,https://samlingar.shm.se/object/1AD1C9A6-1650-4B2F-A1BA-B5DE9199F5AB,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,107936_HST,15721,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=15721,1916,"Plats: Unna Saiva, Socken: Gällivare socken, Kommun: Gällivare kommun, Landskap: Lappland, Land: Sverige",,,,,,,67.52275,18.767187499999988
Vikt,106523_HST,34000,Undernummer: Bj 977,Brons,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,977,Historiska museet,Vikt - 32,https://samlingar.shm.se/object/156E4F60-151E-4AD2-ABB0-505F1AF96892,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,106523_HST,34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 977",KML,Bj 977,"Birka, Adelsö socken","Stolpe, Hjalmar",1881,,
Balansvåg,107068_HST,12426,Undernummer: M:IV,Brons,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:IV,Historiska museet,Balansvåg - 33,https://samlingar.shm.se/object/C98C78B5-223A-4063-9A95-D097CDA15BCD,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,107068_HST,12426,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,1905,"Plats: Rösta, Fornlämning: L1945:291, Socken: Ås socken, Kommun: Krokom kommun, Landskap: Jämtland, Land: Sverige",Grav: M:IV,,,,,,59.6128374,17.2689711
bronsskrot,106581_HST,5208,Undernummer: 247:1,"Brons, Bränd lera","Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,bronsskrot - 34,https://samlingar.shm.se/object/788C7BEB-7060-4A03-A686-26E053E4C339,Handel och värdemätare  Arkeologisk samling,,35,800 – 1100,Vikingatid,106581_HST,5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,1874,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,KML,,"Birka, Adelsö socken","Stolpe, Hjalmar",,,
Balansvåg,106858_HST,6104,FID: 106858,Brons,Ekenäs,,Visby socken,Gotland,Sverige,Skattfynd,,Historiska museet,Balansvåg - 35,https://samlingar.shm.se/object/39EF1BA4-A187-447A-9C12-F8A47495A5E8,Handel och värdemätare  Arkeologisk samling,,1,800 – 1100,Vikingatid,106858_HST,6104,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=6104,1878,"Plats: Ekenäs, Socken: Visby socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd,,,,,,59.9744647,23.4357477
