,Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Artbedömning,Benslagsbedömning,Museum,Unique Name,Catalog Link,Extra Details
10,spiralring,818_HST,33759,Undernummer: 77,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,spiralring - 11,https://samlingar.shm.se/object/9B6AA3BD-B7FD-4FA9-847C-4FA67D15E976,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 73.26 g  Diameter 69 mm  Bredd 4 mm  Tjocklek 4 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""818_HST"", ""Andra nummer"": ""Undernummer: 77  Fyndnummer: 69  FID: 818"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
11,Permisk halsring,867_HST,33759,Undernummer: 170,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,Permisk halsring - 12,https://samlingar.shm.se/object/7DF2EE4E-1C1C-4075-BEA4-CB8F92DA47BE,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Permisk halsring  spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 89.5 g  Diameter 79 mm  Diameter 4 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""867_HST"", ""Andra nummer"": ""Undernummer: 170  Fyndnummer: 134  FID: 867"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
12,Konglomerat,868_HST,33759,Undernummer: 171,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,Konglomerat - 13,https://samlingar.shm.se/object/0C9027E3-194D-4B47-BA21-136D03DF76AB,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Konglomerat  Armbygel  Ten"", ""Kategori"": ""Dr\u00e4kt och personlig utrustning  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 159 g  Diameter 62 mm  Diameter 55 mm  Diameter 58 mm"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""868_HST"", ""Andra nummer"": ""Undernummer: 171  Fyndnummer: 134  FID: 868"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
13,spiralring,884_HST,33759,Undernummer: 195,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,spiralring - 14,https://samlingar.shm.se/object/594A26EB-1F69-40C1-95EC-8B38E1EECBBD,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 93.29 g  Diameter 78 mm  Bredd 5 mm  Tjocklek 5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""884_HST"", ""Andra nummer"": ""Undernummer: 195  Fyndnummer: 153  FID: 884"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
14,Permisk halsring,885_HST,33759,Undernummer: 196,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,Permisk halsring - 15,https://samlingar.shm.se/object/89128FA5-8CDA-4424-8789-B4DCDBC5FC09,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Permisk halsring  spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 98.98 g  Diameter 74 mm  Diameter 5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""885_HST"", ""Andra nummer"": ""Undernummer: 196  Fyndnummer: 154  FID: 885"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
15,Polyedrisk vikt,34510_HST,32211,Fyndnummer: 30,Brons,Botarve,,Väte socken,Gotland,Sverige,,,,,Historiska museet,Polyedrisk vikt - 16,https://samlingar.shm.se/object/48964086-D7E7-4A55-8311-53C87738B419,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Polyedrisk vikt  Vikt"", ""Kategori"": ""Handel  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Brons"", ""Storlek"": ""Vikt 4.2 g"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""34510_HST"", ""Andra nummer"": ""Fyndnummer: 30  FID: 34510"", ""F\u00f6rv\u00e4rvsnummer"": ""32211"", ""Fyndplats"": ""Plats: Botarve, Fastighet: Botarve 1:5, Socken: V\u00e4te socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige""}"
16,Permisk halsring,934_HST,33759,Undernummer: 265,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,Permisk halsring - 17,https://samlingar.shm.se/object/D8FE8101-342C-4639-8E80-A86394A5FC02,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Permisk halsring  spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 31.08 g  Diameter 45 mm  Diameter 4 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""934_HST"", ""Andra nummer"": ""Undernummer: 265  Fyndnummer: 212  FID: 934"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
17,spiralring,1034_HST,33759,Undernummer: 407,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,spiralring - 18,https://samlingar.shm.se/object/98454869-CB6C-4FD9-80F3-3F6E3DBBFD5F,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 84.5 g  Diameter 49 mm  Bredd 5 mm  Tjocklek 5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""1034_HST"", ""Andra nummer"": ""Undernummer: 407  Fyndnummer: 323  FID: 1034"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
18,spiralring,1068_HST,33759,Undernummer: 449,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,spiralring - 19,https://samlingar.shm.se/object/686B1638-CCB3-4A14-92A3-6E1B947A968A,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 111.51 g  Diameter 81 mm  Bredd 6 mm  Tjocklek 5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""1068_HST"", ""Andra nummer"": ""Undernummer: 449  Fyndnummer: 349  FID: 1068"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
19,spiralring,1133_HST,33759,Undernummer: 527,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,,,Historiska museet,spiralring - 20,https://samlingar.shm.se/object/FCEF9501-6FC4-4546-8814-ADD44D07A821,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 26.8 g  Diameter 53 mm  Bredd 4 mm  Tjocklek 4 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""1133_HST"", ""Andra nummer"": ""Undernummer: 527  Fyndnummer: 399  FID: 1133"", ""F\u00f6rv\u00e4rvsnummer"": ""33759"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 2""}"
