Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude
Rundsköld,107823_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Rundsköld - 1,https://samlingar.shm.se/object/1D1DB077-E65D-4565-A792-7DB74C230C10,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107823_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Yxa Petersen F,107824_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Yxa Petersen F - 2,https://samlingar.shm.se/object/F2BCA591-02C2-4E90-96B6-6B73E274C65A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107824_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
svärdsskida,107825_HST,34000,Undernummer: Bj 750,"Cu-legering, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,svärdsskida - 3,https://samlingar.shm.se/object/C1A0693F-6439-46DB-B899-D4A33A7E1E42,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107825_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Tveeggat svärd,107827_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Tveeggat svärd - 4,https://samlingar.shm.se/object/A38BC834-6E7D-4B34-872C-7C72939F1E37,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107827_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Tveeggat svärd,107077_HST,33136,FID: 107077,Järn,,,,Okänt landskap,Sverige,,,Historiska museet,Tveeggat svärd - 5,https://samlingar.shm.se/object/CE5A5104-17C2-4D47-BEF1-69FEAA8F9A4E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107077_HST,,33136,,,1998,"Landskap: Okänt landskap, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Tveeggat svärd,107079_HST,2363,FID: 107079,Järn,Granthe (Tingstäde?),,Hejnum socken,Gotland,Sverige,,,Historiska museet,Tveeggat svärd - 6,https://samlingar.shm.se/object/A2FDB61B-71FE-408B-BC4E-9DAA4A2B159F,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107079_HST,,2363,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2363,,1857,"Plats: Granthe (Tingstäde?), Socken: Hejnum socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 95 cm  Bredd 10 cm,,,,46.3144754,11.0480288
Tveeggat svärd,107086_HST,12634,Fyndnummer: 12,Järn,Enehagen,,Värnamo socken,Småland,Sverige,Hög,12,Historiska museet,Tveeggat svärd - 7,https://samlingar.shm.se/object/FA475F89-D094-49EA-B4A2-FC4E0D0DB3A4,Arkeologisk samling  Vapen och rustningar,1,800 – 1100,Vikingatid,107086_HST,,12634,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12634,,1905,"Plats: Enehagen, Socken: Värnamo socken, Kommun: Värnamo kommun, Landskap: Småland, Land: Sverige",Hög: 12,,,,Längd 83 cm  Bredd 11 cm,,57.9472032,12.5217583,46.3144754,11.0480288
Svärd,107088_HST,7915,FID: 107088,Järn,Bärby,,Funbo socken,Uppland,Sverige,,,Historiska museet,Svärd - 8,https://samlingar.shm.se/object/29760862-0E82-482B-8354-174A4099A147,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107088_HST,,7915,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=7915,,1886,"Plats: Bärby, Socken: Funbo socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 68.5 cm  Bredd 6.4 cm,,59.8566853,17.8175047,46.3144754,11.0480288
Svärd Petersen Z,107495_HST,22293,Undernummer: 2,Järn,Bengtsarvet och Häradsarvet,L2000:9040,Sollerön socken,Dalarna,Sverige,Hög,2,Historiska museet,Svärd Petersen Z - 9,https://samlingar.shm.se/object/B1C793CC-B1CD-47D8-AC84-F5540575ED93,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107495_HST,,22293,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22293,,1939,"Plats: Bengtsarvet och Häradsarvet, Fornlämning: L2000:9040, Socken: Sollerön socken, Kommun: Mora kommun, Landskap: Dalarna, Land: Sverige",Hög: 2,,,,,,,,46.3144754,11.0480288
Dubbeleggad yxa,106509_HST,3326,FID: 106509,Järn,Broby,,Lannaskede socken,Småland,Sverige,,,Historiska museet,Dubbeleggad yxa - 10,https://samlingar.shm.se/object/521D9D50-A222-4D6E-AB2B-4A6F7903CB27,Vapen och rustningar  Religion och kult  Arkeologisk samling,1,800 – 1100,Vikingatid,106509_HST,,3326,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=3326,,1865,"Plats: Broby, Socken: Lannaskede socken, Kommun: Vetlanda kommun, Landskap: Småland, Land: Sverige",,,,,,1,56.2549337,14.0777187,46.3144754,11.0480288
Svärd,106741_HST,16905,FID: 106741,Järn,Burge,,Lummelunda socken,Gotland,Sverige,,,Historiska museet,Svärd - 11,https://samlingar.shm.se/object/21515015-8A59-4F13-9B84-FACB558CE9DE,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106741_HST,,16905,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16905,,1922,"Plats: Burge, Socken: Lummelunda socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,46.0533463,11.4566004,46.3144754,11.0480288
Spjutspets,106757_HST,13581,FID: 106757,Järn,Villsberga,,Biskopskulla socken,Uppland,Sverige,,,Historiska museet,Spjutspets - 12,https://samlingar.shm.se/object/333253B6-5192-43C2-92E8-E200C99B749A,Arkeologisk samling  Vapen och rustningar,1,800 – 1100,Vikingatid,106757_HST,,13581,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=13581,,1908,"Plats: Villsberga, Socken: Biskopskulla socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.7237977,17.223294,46.3144754,11.0480288
Svärd,106758_HST,2194,Undernummer: 2,Järn,Ultuna kungsladugård,,Bondkyrka socken,Uppland,Sverige,,,Historiska museet,Svärd - 13,https://samlingar.shm.se/object/758C7462-DAF9-4DD4-8679-C7812ADE979A,Vapen och rustningar  Arkeologisk samling,1,550 – 1100,Vendeltid  Vikingatid,106758_HST,,2194,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2194,,1855,"Plats: Ultuna kungsladugård, Socken: Bondkyrka socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,,,,,46.3144754,11.0480288
Svärd Petersen S,106760_HST,14471,FID: 106760,Järn,Sigridsholm,,Lunda socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen S - 14,https://samlingar.shm.se/object/CBD5C08B-ACD8-407C-8DB0-F3F6115BF5A0,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106760_HST,,14471,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14471,,1911,"Plats: Sigridsholm, Socken: Lunda socken, Kommun: Sigtuna kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.672228,18.0186091,46.3144754,11.0480288
Svärd Petersen V,107067_HST,12426,Undernummer: M:IV,Järn,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:IV,Historiska museet,Svärd Petersen V - 15,https://samlingar.shm.se/object/FAC5B162-EE4D-4539-9891-C775BB477E2D,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107067_HST,,12426,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,,1905,"Plats: Rösta, Fornlämning: L1945:291, Socken: Ås socken, Kommun: Krokom kommun, Landskap: Jämtland, Land: Sverige",Grav: M:IV,,,,,,59.6128374,17.2689711,46.3144754,11.0480288
Svärd,107081_HST,25370,FID: 107081,Järn,Östveda,L1951:6790,Hedesunda socken,Gästrikland,Sverige,Brandgrav,,Historiska museet,Svärd - 16,https://samlingar.shm.se/object/100D9D5B-D320-4E88-A052-AF616BB9C91A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107081_HST,,25370,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=25370,,1956,"Plats: Östveda, Fornlämning: L1951:6790, Fastighet: Östveda 1:2, Socken: Hedesunda socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Brandgrav,,,,,,60.3845286,17.096026,46.3144754,11.0480288
Tveeggat svärd,107082_HST,18780,Undernummer: 2,Järn,Norra Åbyggeby,L1951:3125,Hille socken,Gästrikland,Sverige,Grav,2,Historiska museet,Tveeggat svärd - 17,https://samlingar.shm.se/object/AF798231-3D39-4CA6-8136-217FE45A6676,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107082_HST,,18780,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=18780,,1928,"Plats: Norra Åbyggeby, Fornlämning: L1951:3125, Socken: Hille socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Grav: 2,,,,,,60.7333682,17.1186237,46.3144754,11.0480288
Tveeggat svärd,107083_HST,12572,FID: 107083,Järn,Yttermyra,,Ovansjö socken,Gästrikland,Sverige,,,Historiska museet,Tveeggat svärd - 18,https://samlingar.shm.se/object/E4987403-CD5A-4574-87DD-58A59A6C28AF,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107083_HST,,12572,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12572,,1905,"Plats: Yttermyra, Socken: Ovansjö socken, Kommun: Sandviken kommun, Landskap: Gästrikland, Land: Sverige",,,,,Längd 98.5 cm  Bredd 15 cm,,60.5938804,16.5797904,46.3144754,11.0480288
Svärd,107084_HST,,FID: 107084,Järn,,,,,Sverige,,,Historiska museet,Svärd - 19,https://samlingar.shm.se/object/1BD79EDF-3F9B-4FBB-A3D1-C4DEC6566C07,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107084_HST,,,,,,Land: Sverige,,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Svärd,25356_HST,31603,FID: 25356,Järn,Ormängen,L1943:6305,Kungs-Husby socken,Uppland,Sverige,,,Historiska museet,Svärd - 20,https://samlingar.shm.se/object/11CCFAA6-62CC-462F-AFB4-08CE84262C32,Vapen  Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,25356_HST,,31603,,,1984,"Plats: Ormängen, Fornlämning: L1943:6305, Fastighet: Ormängen 1:3, Socken: Kungs-Husby socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,Bredd 21 mm  Längd 56 mm  Tjocklek 19 mm  Längd 56 mm  Bredd 21 mm  Tjocklek 19 mm  + Visa 1 till,,59.8769311,16.4651379,46.3144754,11.0480288
Rundsköld,106520_HST,34000,Undernummer: Bj 977,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,977,Historiska museet,Rundsköld - 21,https://samlingar.shm.se/object/F200C235-F93E-4717-9710-8DD15F597467,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106520_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 977",Bj 977,"Stolpe, Hjalmar",1881,,18,,,,
Svärd,106754_HST,14146,FID: 106754,Järn,Linga,L2017:50,Överjärna socken,Södermanland,Sverige,,,Historiska museet,Svärd - 22,https://samlingar.shm.se/object/6F9E77CA-4576-4692-9F02-C9609AA3B9E0,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106754_HST,,14146,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14146,,1910,"Plats: Linga, Fornlämning: L2017:50, Socken: Överjärna socken, Kommun: Södertälje kommun, Landskap: Södermanland, Land: Sverige",,,,,,,52.5224659,7.316584,46.3144754,11.0480288
Sköld,22718_HST,31056,Fyndnummer: 2,Brons,"Hillersta, Äsköping",L1984:2193,Julita socken,Södermanland,Sverige,Rund stensättning,A8,Historiska museet,Sköld - 23,https://samlingar.shm.se/object/162D40CA-78AA-4E1A-B227-BE0BFCE76987,Vapen  Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,22718_HST,,31056,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=31056,,1978,"Plats: Hillersta, Äsköping, Fornlämning: L1984:2193, Socken: Julita socken, Kommun: Katrineholm kommun, Landskap: Södermanland, Land: Sverige",Rund stensättning: A8,,,,Längd 35 mm  Tjocklek 7 mm  Längd 35 mm  Tjocklek 7 mm,,59.1453169,16.0686917,46.3144754,11.0480288
Pilspets,106521_HST,34000,Undernummer: Bj 977,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,977,Historiska museet,Pilspets - 24,https://samlingar.shm.se/object/7843765A-36A6-4F6B-940C-4BF8895ACF03,Vapen och rustningar  Arkeologisk samling,17,800 – 1100,Vikingatid,106521_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 977",Bj 977,"Stolpe, Hjalmar",1881,,,,,,
Svärd,106738_HST,20263,FID: 106738,Järn,Broa,L1976:1548,Halla socken,Gotland,Sverige,,,Historiska museet,Svärd - 25,https://samlingar.shm.se/object/41252011-0F47-4F96-BB12-AA6836FB91C6,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106738_HST,,20263,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=20263,,1933,"Plats: Broa, Fornlämning: L1976:1548, Socken: Halla socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,39.2664318,-7.3585057,46.3144754,11.0480288
Tveeggat svärd,107078_HST,11097,FID: 107078,Järn,Oljonsbyn,,Orsa socken,Dalarna,Sverige,,,Historiska museet,Tveeggat svärd - 26,https://samlingar.shm.se/object/AA5DEF92-F4F2-415B-9692-23A3080DA041,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107078_HST,,11097,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=11097,,1900,"Plats: Oljonsbyn, Socken: Orsa socken, Kommun: Orsa kommun, Landskap: Dalarna, Land: Sverige",,,,,,,61.0969206,14.6608589,46.3144754,11.0480288
Tveeggat svärd,107080_HST,14623,Undernummer: 1,Järn,Bjärge,,Vallstena socken,Gotland,Sverige,,,Historiska museet,Tveeggat svärd - 27,https://samlingar.shm.se/object/4C210E52-0EFB-45CC-BD2F-461ADB58CC67,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107080_HST,,14623,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14623,,1912,"Plats: Bjärge, Socken: Vallstena socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 94 cm  Bredd 8 cm,,57.6222315,18.6201887,46.3144754,11.0480288
Tveeggat svärd,107087_HST,6001,FID: 107087,Järn,Altuna åbotten,,Altuna socken,Uppland,Sverige,,,Historiska museet,Tveeggat svärd - 28,https://samlingar.shm.se/object/F36E08BC-1A64-4989-A579-FF261D5DDA70,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107087_HST,,6001,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=6001,,1877,"Plats: Altuna åbotten, Socken: Altuna socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 914 mm  Bredd 93 mm,,,,46.3144754,11.0480288
Svärd Petersen H/I,107089_HST,19380,FID: 107089,Järn,Skuttunge,,Skuttunge socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen H/I - 29,https://samlingar.shm.se/object/29BADA5A-489F-4956-AD84-B55D82FFC4A8,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107089_HST,,19380,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19380,,1930,"Plats: Skuttunge, Fastighet: Skuttunge nr 1, Socken: Skuttunge socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 760 mm  Bredd 100 mm,,59.9948627,17.5043379,46.3144754,11.0480288
Pilspets,8228_HST,30301,FID: 8228,Järn,Överhogdal,,Överhogdal socken,Härjedalen,Sverige,,,Historiska museet,Pilspets - 30,https://samlingar.shm.se/object/55078CEA-4771-471C-9279-ED7FA3536357,Vapen  Arkeologisk samling  Vapen och rustningar,1,800 – 1100,Vikingatid,8228_HST,,30301,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=30301,,1975,"Plats: Överhogdal, Socken: Överhogdal socken, Kommun: Härjedalen kommun, Landskap: Härjedalen, Land: Sverige",,,,,Bredd 18 mm  Längd 167 mm  Tjocklek 4 mm  Längd 167 mm  Bredd 18 mm  Tjocklek 4 mm  + Visa 1 till,,62.2792614,14.8073471,46.3144754,11.0480288
Svärd,94759_HST,17343,Undernummer: 2200,Järn,Nässeved,,Undersåker socken,Jämtland,Sverige,,,Historiska museet,Svärd - 31,https://samlingar.shm.se/object/61E6D5D4-99CE-46CA-87CB-D32B897A1E08,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,94759_HST,,17343,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,1923,"Plats: Nässeved, Fastighet: Hjerpen, Socken: Undersåker socken, Kommun: Åre kommun, Landskap: Jämtland, Land: Sverige",,,,,Längd 750 mm  Längd 20 mm  Bredd 120 mm  Tjocklek 23 mm,,,,46.3144754,11.0480288
Piksporre,181399_HST,34000,Undernummer: Bj 736,"Järn, Brons","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,Piksporre - 32,https://samlingar.shm.se/object/56A8449C-8675-4DF2-8FDB-F9447237E3AC,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181399_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,2,,,,
Sporre,181400_HST,34000,Undernummer: Bj 708,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,708,Historiska museet,Sporre - 33,https://samlingar.shm.se/object/8457E650-F9F6-4F36-B29A-58F331641334,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,181400_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 708",Bj 708,"Stolpe, Hjalmar",1879,,3,,,,
Svärd Petersen E,181290_HST,8276,FID: 181290,Järn,Vik,L1951:8901,Järvsö socken,Hälsingland,Sverige,,,Historiska museet,Svärd Petersen E - 34,https://samlingar.shm.se/object/AFD0CCF1-9161-42D2-8A89-270C199AEBCD,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181290_HST,,8276,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=8276,,1888,"Plats: Vik, Fornlämning: L1951:8901, Fastighet: Vik nr 4, Socken: Järvsö socken, Kommun: Ljusdal kommun, Landskap: Hälsingland, Land: Sverige",,,,,Längd 99 cm  Bredd 10 cm,,61.034966350000005,6.594105058640873,46.3144754,11.0480288
Rundsköld,181493_HST,34000,Undernummer: Bj 581,"Järn, Textil","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,581,Historiska museet,Rundsköld - 35,https://samlingar.shm.se/object/B6B56454-0844-4251-AF25-78D5FF210DE7,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181493_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 581",Bj 581,"Stolpe, Hjalmar",1878,Diameter 135 mm  Höjd 63 mm,,,,,
Svärd Petersen H/I,181494_HST,34000,Undernummer: Bj 850,"Järn, Mässing","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,850,Historiska museet,Svärd Petersen H/I - 36,https://samlingar.shm.se/object/0C52CFB3-6CD5-40A4-BE78-B33BD45AD7F4,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181494_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 850",Bj 850,"Stolpe, Hjalmar",,,2,,,,
Spjut,181496_HST,34000,Undernummer: Bj 1098,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Skelettgrav,1098,Historiska museet,Spjut - 37,https://samlingar.shm.se/object/16885CB4-3C86-4099-BF2A-B13F71DD90CB,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181496_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Skelettgrav, Grav, Flatmarksgrav: 1098",Bj 1098,"Stolpe, Hjalmar",1881,,,,,,
Spjut,123305_HST,34000,Undernummer: Bj 834,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,834,Historiska museet,Spjut - 38,https://samlingar.shm.se/object/6B6404B7-E15C-4342-A311-AD955D3A35E9,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,123305_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 834",Bj 834,"Stolpe, Hjalmar",1879,,,,,,
Svärd,145676_HST,6214,FID: 145676,Silver,Ätran,,Falkenberg socken,Halland,Sverige,,,Historiska museet,Svärd - 39,https://samlingar.shm.se/object/71A0DFE9-5D5D-438D-B10D-AA27A0A7CCCD,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,145676_HST,,6214,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=6214,Gåva,1878,"Plats: Ätran, Socken: Falkenberg socken, Kommun: Falkenberg kommun, Landskap: Halland, Land: Sverige",,,,,,,57.5042071,13.1208047,46.3144754,11.0480288
Miniatyr spjutspets,181770_HST,34000,Undernummer: Bj 944,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,944,Historiska museet,Miniatyr spjutspets - 40,https://samlingar.shm.se/object/8819C0E5-E688-4924-8AB2-97973A656DF7,Religion och kult  Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,181770_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 944",Bj 944,"Stolpe, Hjalmar",1881,,1,,,,
